piam_variable                                 ;old_name
# you are allowed to add a wildcard *, but only at the end of both columns simultaneously
# after adding variables, you can automatically adjust all mappings, see README.md.
#
# Renaming of investment variables acording to the IAMC template
Investment|Energy Supply|Electricity|++|Fossil;Energy Investments|Electricity|Fossil
Investment|Energy Supply|Electricity|Fossil|+|w/o CCSS;Energy Investments|Electricity|Fossil|w/o CCS
Investment|Energy Supply|Electricity|+|Coal;Energy Investments|Electricity|+|Coal
Investment|Energy Supply|Electricity|Coal|+|CCS;Energy Investments|Electricity|Coal|+|w/ CC
Investment|Energy Supply|Electricity|Coal|+|w/o CCS;Energy Investments|Electricity|Coal|+|w/o CC
Investment|Energy Supply|Electricity|+|Gas;Energy Investments|Electricity|+|Gas
Investment|Energy Supply|Electricity|Gas|+|CCS;Energy Investments|Electricity|Gas|+|w/ CC
Investment|Energy Supply|Electricity|Gas|+|w/o CCS;Energy Investments|Electricity|Gas|+|w/o CC
Investment|Energy Supply|Electricity|+|Hydrogen;Energy Investments|Electricity|+|Hydrogen
Investment|Energy Supply|Electricity|+|Oil;Energy Investments|Electricity|+|Oil
Investment|Energy Supply|Electricity|Oil|+|w/o CCS;Energy Investments|Electricity|Oil|+|w/o CC
Investment|Energy Supply|Electricity|Oil|+|CCS;Energy Investments|Electricity|Oil|+|w/ CC
Investment|Energy Supply|Electricity|+|Biomass;Energy Investments|Electricity|+|Biomass
Investment|Energy Supply|Electricity|Biomass|+|CCS;Energy Investments|Electricity|Biomass|+|w/ CC
Investment|Energy Supply|Electricity|Biomass|+|w/o CCS;Energy Investments|Electricity|Biomass|+|w/o CC
Investment|Energy Supply|Electricity|+|Nuclear;Energy Investments|Electricity|+|Nuclear
Investment|Energy Supply|Electricity|+|Solar;Energy Investments|Electricity|+|Solar
Investment|Energy Supply|Electricity|Wind|+|Onshore;Energy Investments|Electricity|Wind|+|Onshore
Investment|Energy Supply|Electricity|Wind|+|Offshore;Energy Investments|Electricity|Wind|+|Offshore
Investment|Energy Supply|Electricity|+|Wind;Energy Investments|Electricity|+|Wind
Investment|Energy Supply|Electricity|+|Hydro;Energy Investments|Electricity|+|Hydro
Investment|Energy Supply|Electricity|+|Geothermal;Energy Investments|Electricity|+|Geothermal
Investment|Energy Supply|Electricity|+|Storage;Energy Investments|Electricity|+|Storage
Investment|Energy Supply|Electricity|+|Transmission and Distribution;Energy Investments|Electricity|+|Grid
Investment|Energy Supply|Electricity|Transmission and Distribution|+|BEV Chargers;Energy Investments|Electricity|Grid|+|BEV Chargers
