idx;Variable_AR6;Unit;r21m42;r21m42_unit;r21m42_factor;r21m42_spatial;m42;m42_unit;m42_factor;r30m44;r30m44_unit;r30m44_factor;r30m44_spatial;m44;m44_unit;m44_factor;internal_comment;Comment;Definition
556;Capacity|Gases|Biomass|w/ CCS;GW;;;;;;;;;;;;;;;;;Total installed (available) capacity of biomass to gas plants with CCS. The installed (available) capacity of CCS biomass to gas plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Gases|Biomass|w/ CCS|1,...,Capacity|Gases|Biomass|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
557;Capacity|Gases|Biomass|w/o CCS;GW;;;;;;;;;;;;;;;;;Total installed (available) capacity of biomass to gas plants without CCS. The installed (available) capacity of biomass to gas plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Gases|Biomass|w/o CCS|1,...,Capacity|Gases|Biomass|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
558;Capacity|Gases|Coal;GW;;;;;;;;Cap|Gases|Coal;GW;;;;;;;;Total installed (available) capacity of coal to gas plants.
559;Capacity|Gases|Coal|w/ CCS;GW;;;;;;;;;;;;;;;;;Total installed (available) capacity of coal to gas plants with CCS. The installed (available) capacity of CCS coal to gas plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Gases|Coal|w/ CCS|1,...,Capacity|Gases|Coal|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
560;Capacity|Gases|Coal|w/o CCS;GW;;;;;;;;;;;;;;;;;Total installed (available) capacity of coal to gas plants without CCS. The installed (available) capacity of coal to gas plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Gases|Coal|w/o CCS|1,...,Capacity|Gases|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
;Capacity|Hydrogen;GW;;;;;;;;Cap|Hydrogen;GW;;;;;;;;Total installed (available) capacity of hydrogen plants.
561;Capacity|Hydrogen|Biomass;GW;;;;;;;;Cap|Hydrogen|Biomass;GW;;;;;;;;Total installed (available) capacity of biomass to hydrogen plants.
562;Capacity|Hydrogen|Biomass|w/ CCS;GW;TODO;GW;;;;;;Cap|Hydrogen|Biomass|w/ CC;GW;;;;;;;;Total installed (available) capacity of biomass to hydrogen plants with CCS. The installed (available) capacity of CCS biomass to hydrogen plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Hydrogen|Biomass|w/ CCS|1,...,Capacity|Hydrogen|Biomass|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
563;Capacity|Hydrogen|Biomass|w/o CCS;GW;TODO;GW;;;;;;Cap|Hydrogen|Biomass|w/o CC;GW;;;;;;;;Total installed (available) capacity of biomass to hydrogen plants without CCS. The installed (available) capacity of biomass to hydrogen plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Hydrogen|Biomass|w/o CCS|1,...,Capacity|Hydrogen|Biomass|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
564;Capacity|Hydrogen|Coal;GW;;;;;;;;Cap|Hydrogen|Coal;GW;;;;;;;;Total installed (available) capacity of coal to hydrogen plants.
565;Capacity|Hydrogen|Coal|w/ CCS;GW;;;;;;;;Cap|Hydrogen|Coal|w/ CC;GW;;;;;;;;Total installed (available) capacity of coal to hydrogen plants with CCS. The installed (available) capacity of CCS coal to hydrogen plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Hydrogen|Coal|w/ CCS|1,...,Capacity|Hydrogen|Coal|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
566;Capacity|Hydrogen|Coal|w/o CCS;GW;;;;;;;;Cap|Hydrogen|Coal|w/o CC;GW;;;;;;;;Total installed (available) capacity of coal to hydrogen plants without CCS. The installed (available) capacity of coal to hydrogen plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Hydrogen|Coal|w/o CCS|1,...,Capacity|Hydrogen|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
567;Capacity|Hydrogen|Electricity;GW;TODO;GW;;;;;;Cap|Hydrogen|Electricity;GW;;;;;;;;Total installed (available) capacity of hydrogen-by-electrolysis plants. The installed (available) capacity of hydrogen-by-electrolysis plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Hydrogen|Electricity|w/ CCS|1,...,Capacity|Hydrogen|Electricity|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
568;Capacity|Hydrogen|Gas;GW;;;;;;;;Cap|Hydrogen|Gas;GW;;;;;;;;Total installed (available) capacity of gas to hydrogen plants.
569;Capacity|Hydrogen|Gas|w/ CCS;GW;;;;;;;;Cap|Hydrogen|Gas|w/ CC;GW;;;;;;;;Total installed (available) capacity of gas to hydrogen plants with CCS. The installed (available) capacity of CCS gas to hydrogen plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Hydrogen|Gas|w/ CCS|1,...,Capacity|Hydrogen|Gas|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
570;Capacity|Hydrogen|Gas|w/o CCS;GW;;;;;;;;Cap|Hydrogen|Gas|w/o CC;GW;;;;;;;;Total installed (available) capacity of gas to hydrogen plants without CCS. The installed (available) capacity of gas to hydrogen plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Hydrogen|Gas|w/o CCS|1,...,Capacity|Hydrogen|Gas|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
;Capacity|Liquids;GW;;;;;;;;Cap|Liquids;GW;;;;;;;;Total installed (available) capacity of biomass to liquids plants.
571;Capacity|Liquids|Biomass;GW;;;;;;;;Cap|Liquids|Biomass;GW;;;;;;;;Total installed (available) capacity of biomass to liquids plants.
572;Capacity|Liquids|Biomass|w/ CCS;GW;;;;;;;;;;;;;;;;;Total installed (available) capacity of biomass to liquids plants with CCS. The installed (available) capacity of CCS biomass to liquids plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Liquids|Biomass|w/ CCS|1,...,Capacity|Liquids|Biomass|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
573;Capacity|Liquids|Biomass|w/o CCS;GW;;;;;;;;;;;;;;;;;Total installed (available) capacity of biomass to liquids plants without CCS. The installed (available) capacity of biomass to liquids plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Liquids|Biomass|w/o CCS|1,...,Capacity|Liquids|Biomass|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
574;Capacity|Liquids|Coal;GW;;;;;;;;Cap|Liquids|Coal;GW;;;;;;;;Total installed (available) capacity of coal to liquids plants.
575;Capacity|Liquids|Coal|w/ CCS;GW;;;;;;;;;;;;;;;;;Total installed (available) capacity of coal to liquids plants with CCS. The installed (available) capacity of CCS coal to liquids plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Liquids|Coal|w/ CCS|1,...,Capacity|Liquids|Coal|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
576;Capacity|Liquids|Coal|w/o CCS;GW;;;;;;;;;;;;;;;;;Total installed (available) capacity of coal to liquids plants without CCS. The installed (available) capacity of coal to liquids plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Liquids|Coal|w/o CCS|1,...,Capacity|Liquids|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
577;Capacity|Liquids|Gas;GW;;;;;;;;;;;;;;;;;Total installed (available) capacity of gas to liquids plants.
578;Capacity|Liquids|Gas|w/ CCS;GW;;;;;;;;;;;;;;;;;Total installed (available) capacity of gas to liquids plants with CCS. The installed (available) capacity of CCS gas to liquids plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Liquids|Gas|w/ CCS|1,...,Capacity|Liquids|Gas|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
579;Capacity|Liquids|Gas|w/o CCS;GW;;;;;;;;;;;;;;;;;Total installed (available) capacity of gas to liquids plants without CCS. The installed (available) capacity of gas to liquids plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Liquids|Gas|w/o CCS|1,...,Capacity|Liquids|Gas|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
580;Capacity|Liquids|Oil;GW;;;;;;;;Cap|Liquids|Oil;GW;;;;;;;;Total installed (available) capacity of oil refining plants. The installed (available) capacity of oil refineries by plant type for which capital costs are reported should be reported by adding variables Capacity|Liquids|Oil|w/ CCS|1,...,Capacity|Liquids|Oil|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
581;Cumulative Capacity|Electricity|Biomass;GW;Cumulative Cap|Electricity|Biomass;GW;;;;;;Cumulative Cap|Electricity|Biomass;GW;;;;;;;;cumulative installed capacity (since 2005) of biomass power plants
582;Cumulative Capacity|Electricity|Biomass|w/ CCS;GW;Cumulative Cap|Electricity|Biomass|w/ CCS;GW;;;;;;Cumulative Cap|Electricity|Biomass|w/ CC;GW;;;;;;;;cumulative installed capacity (since 2005) of biomass power plants with CCS.
583;Cumulative Capacity|Electricity|Biomass|w/o CCS;GW;Cumulative Cap|Electricity|Biomass|w/o CCS;GW;;;;;;Cumulative Cap|Electricity|Biomass|w/o CC;GW;;;;;;;;cumulative installed capacity (since 2005) of biomass power plants without CCS.
584;Cumulative Capacity|Electricity|Coal;GW;Cumulative Cap|Electricity|Coal;GW;;;;;;Cumulative Cap|Electricity|Coal;GW;;;;;;;;cumulative installed capacity (since 2005) of coal power plants
585;Cumulative Capacity|Electricity|Coal|w/ CCS;GW;Cumulative Cap|Electricity|Coal|w/ CCS;GW;;;;;;Cumulative Cap|Electricity|Coal|w/ CC;GW;;;;;;;;cumulative installed capacity (since 2005) of coal power plants with CCS.
586;Cumulative Capacity|Electricity|Coal|w/o CCS;GW;Cumulative Cap|Electricity|Coal|w/o CCS;GW;;;;;;Cumulative Cap|Electricity|Coal|w/o CC;GW;;;;;;;;cumulative installed capacity (since 2005) of coal power plants without CCS.
587;Cumulative Capacity|Electricity|Gas;GW;Cumulative Cap|Electricity|Gas;GW;;;;;;Cumulative Cap|Electricity|Gas;GW;;;;;;;;cumulative installed capacity (since 2005) of gas power plants
588;Cumulative Capacity|Electricity|Gas|w/ CCS;GW;Cumulative Cap|Electricity|Gas|w/ CCS;GW;;;;;;Cumulative Cap|Electricity|Gas|w/ CC;GW;;;;;;;;cumulative installed capacity (since 2005) of gas power plants without CCS.
589;Cumulative Capacity|Electricity|Gas|w/o CCS;GW;Cumulative Cap|Electricity|Gas|w/o CCS;GW;;;;;;Cumulative Cap|Electricity|Gas|w/o CC;GW;;;;;;;;cumulative installed capacity (since 2005) of gas power plants with CCS.
590;Cumulative Capacity|Electricity|Geothermal;GW;;;;;;;;Cumulative Cap|Electricity|Geothermal;GW;;;;;;;;cumulative installed capacity (since 2005) of geothermal power plants
591;Cumulative Capacity|Electricity|Hydro;GW;Cumulative Cap|Electricity|Hydro;GW;;;;;;Cumulative Cap|Electricity|Hydro;GW;;;;;;;;cumulative installed capacity (since 2005) of hydro power plants
592;Cumulative Capacity|Electricity|Nuclear;GW;Cumulative Cap|Electricity|Nuclear;GW;;;;;;Cumulative Cap|Electricity|Nuclear;GW;;;;;;;;cumulative installed capacity (since 2005) of nuclear power plants
593;Cumulative Capacity|Electricity|Ocean;GW;;;;;;;;;;;;;;;;;cumulative installed capacity (since 2005) of ocean power plants
594;Cumulative Capacity|Electricity|Oil;GW;;;;;;;;;;;;;;;;;cumulative installed capacity (since 2005) of oil power plants
595;Cumulative Capacity|Electricity|Oil|w/ CCS;GW;;;;;;;;;;;;;;;;;Cumulative installed capacity (since 2005) of oil power plants with CCS. The cumulative capacity of CCS oil power plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Electricity|Oil|w/ CCS|1,...,Cumulative Capacity|Electricity|Oil|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
596;Cumulative Capacity|Electricity|Oil|w/o CCS;GW;;;;;;;;;;;;;;;;;Cumulative installed capacity (since 2005) of oil power plants without CCS. The cumulative capacity of oil power plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Electricity|Oil|w/o CCS|1,...,Cumulative Capacity|Electricity|Oil|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
597;Cumulative Capacity|Electricity|Other;GW;;;;;;;;;;;;;;;;;cumulative installed capacity (since 2005) of other power plants
598;Cumulative Capacity|Electricity|Solar;GW;Cumulative Cap|Electricity|Solar;GW;;;;;;Cumulative Cap|Electricity|Solar;GW;;;;;;;;cumulative installed capacity (since 2005) of solar power installations
599;Cumulative Capacity|Electricity|Solar|CSP;GW;Cumulative Cap|Electricity|Solar|CSP;GW;;;;;;Cumulative Cap|Electricity|Solar|CSP;GW;;;;;;;;cumulative installed capacity (since 2005) of CSP plants
600;Cumulative Capacity|Electricity|Solar|PV;GW;Cumulative Cap|Electricity|Solar|PV;GW;;;;;;Cumulative Cap|Electricity|Solar|PV;GW;;;;;;;;cumulative installed capacity (since 2005) of PV installations
601;Cumulative Capacity|Electricity|Wind;GW;Cumulative Cap|Electricity|Wind;GW;;;;;;Cumulative Cap|Electricity|Wind;GW;;;;;;;;cumulative installed capacity (since 2005) of wind power installations
602;Cumulative Capacity|Electricity|Wind|Offshore;GW;;;;;;;;Cumulative Cap|Electricity|Wind|Offshore;GW;;;;;;;;cumulative installed capacity (since 2005) of offshore wind power installations
603;Cumulative Capacity|Electricity|Wind|Onshore;GW;;;;;;;;Cumulative Cap|Electricity|Wind|Onshore;GW;;;;;;;;cumulative installed capacity (since 2005) of onshore wind power installations
604;Cumulative Capacity|Gases|Biomass;GW;;;;;;;;;;;;;;;;;Cumulative installed capacity (since 2005) of biomass to gas plants.
605;Cumulative Capacity|Gases|Biomass|w/ CCS;GW;;;;;;;;;;;;;;;;;Cumulative installed capacity (since 2005) of biomass to gas plants with CCS. The cumulative capacity of CCS biomass to gas plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Gases|Biomass|w/ CCS|1,...,Cumulative Capacity|Gases|Biomass|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
606;Cumulative Capacity|Gases|Biomass|w/o CCS;GW;;;;;;;;;;;;;;;;;Cumulative installed capacity (since 2005) of biomass to gas plants without CCS. The cumulative capacity of biomass to gas plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Gases|Biomass|w/o CCS|1,...,Cumulative Capacity|Gases|Biomass|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
607;Cumulative Capacity|Gases|Coal;GW;;;;;;;;;;;;;;;;;Cumulative installed capacity (since 2005) of coal to gas plants.
608;Cumulative Capacity|Gases|Coal|w/ CCS;GW;;;;;;;;;;;;;;;;;Cumulative installed capacity (since 2005) of coal to gas plants with CCS. The cumulative capacity of CCS coal to gas plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Gases|Coal|w/ CCS|1,...,Cumulative Capacity|Gases|Coal|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
609;Cumulative Capacity|Gases|Coal|w/o CCS;GW;;;;;;;;;;;;;;;;;Cumulative installed capacity (since 2005) of coal to gas plants without CCS. The cumulative capacity of coal to gas plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Gases|Coal|w/o CCS|1,...,Cumulative Capacity|Gases|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
610;Cumulative Capacity|Hydrogen|Biomass;GW;Cumulative Cap|Hydrogen|Biomass;GW;;;;;;Cumulative Cap|Hydrogen|Biomass;GW;;;;;;;;Cumulative installed capacity (since 2005) of biomass to hydrogen plants.
611;Cumulative Capacity|Hydrogen|Biomass|w/ CCS;GW;Cumulative Cap|Hydrogen|Biomass|w/ CCS;GW;;;;;;Cumulative Cap|Hydrogen|Biomass|w/ CC;GW;;;;;;;;Cumulative installed capacity (since 2005) of biomass to hydrogen plants with CCS. The cumulative capacity of CCS biomass to hydrogen plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Hydrogen|Biomass|w/ CCS|1,...,Cumulative Capacity|Hydrogen|Biomass|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
612;Cumulative Capacity|Hydrogen|Biomass|w/o CCS;GW;Cumulative Cap|Hydrogen|Biomass|w/o CCS;GW;;;;;;Cumulative Cap|Hydrogen|Biomass|w/o CC;GW;;;;;;;;Cumulative installed capacity (since 2005) of biomass to hydrogen plants without CCS. The cumulative capacity of biomass to hydrogen plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Hydrogen|Biomass|w/o CCS|1,...,Cumulative Capacity|Hydrogen|Biomass|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
613;Cumulative Capacity|Hydrogen|Coal;GW;;;;;;;;Cumulative Cap|Hydrogen|Coal;GW;;;;;;;;Cumulative installed capacity (since 2005) of coal to hydrogen plants.
614;Cumulative Capacity|Hydrogen|Coal|w/ CCS;GW;;;;;;;;Cumulative Cap|Hydrogen|Coal|w CC;GW;;;;;;;;Cumulative installed capacity (since 2005) of coal to hydrogen plants with CCS. The cumulative capacity of CCS coal to hydrogen plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Hydrogen|Coal|w/ CCS|1,...,Cumulative Capacity|Hydrogen|Coal|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
615;Cumulative Capacity|Hydrogen|Coal|w/o CCS;GW;;;;;;;;Cumulative Cap|Hydrogen|Coal|w/o CC;GW;;;;;;;;Cumulative installed capacity (since 2005) of coal to hydrogen plants without CCS. The cumulative capacity of coal to hydrogen plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Hydrogen|Coal|w/o CCS|1,...,Cumulative Capacity|Hydrogen|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
616;Cumulative Capacity|Hydrogen|Electricity;GW;Cumulative Cap|Hydrogen|Electricity;GW;;;;;;Cumulative Cap|Hydrogen|Electricity;GW;;;;;;;;Cumulative installed capacity (since 2005) of hydrogen-by-electrolysis plants. The cumulative capacity of hydrogen-by-electrolysis plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Hydrogen|Electricity|1,...,Cumulative Capacity|Hydrogen|Electricity|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
617;Cumulative Capacity|Hydrogen|Gas;GW;;;;;;;;Cumulative Cap|Hydrogen|Gas;GW;;;;;;;;Cumulative installed capacity (since 2005) of gas to hydrogen plants.
618;Cumulative Capacity|Hydrogen|Gas|w/ CCS;GW;;;;;;;;Cumulative Cap|Hydrogen|Gas|w CC;GW;;;;;;;;Cumulative installed capacity (since 2005) of gas to hydrogen plants with CCS. The cumulative capacity of CCS gas to hydrogen plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Hydrogen|Gas|w/ CCS|1,...,Cumulative Capacity|Hydrogen|Gas|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
619;Cumulative Capacity|Hydrogen|Gas|w/o CCS;GW;;;;;;;;Cumulative Cap|Hydrogen|Gas|w/o CC;GW;;;;;;;;Cumulative installed capacity (since 2005) of gas to hydrogen plants without CCS. The cumulative capacity of gas to hydrogen plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Hydrogen|Gas|w/o CCS|1,...,Cumulative Capacity|Hydrogen|Gas|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
620;Cumulative Capacity|Liquids|Biomass;GW;;;;;;;;;;;;;;;;;Cumulative installed capacity (since 2005) of biomass to liquids plants.
621;Cumulative Capacity|Liquids|Biomass|w/ CCS;GW;;;;;;;;;;;;;;;;;Cumulative installed capacity (since 2005) of biomass to liquids plants with CCS. The cumulative capacity of CCS biomass to liquids plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Liquids|Biomass|w/ CCS|1,...,Cumulative Capacity|Liquids|Biomass|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
622;Cumulative Capacity|Liquids|Biomass|w/o CCS;GW;;;;;;;;;;;;;;;;;Cumulative installed capacity (since 2005) of biomass to liquids plants without CCS. The cumulative capacity of biomass to liquids plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Liquids|Biomass|w/o CCS|1,...,Cumulative Capacity|Liquids|Biomass|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
623;Cumulative Capacity|Liquids|Coal;GW;;;;;;;;;;;;;;;;;Cumulative installed capacity (since 2005) of coal to liquids plants.
624;Cumulative Capacity|Liquids|Coal|w/ CCS;GW;;;;;;;;;;;;;;;;;Cumulative installed capacity (since 2005) of coal to liquids plants with CCS. The cumulative capacity of CCS coal to liquids plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Liquids|Coal|w/ CCS|1,...,Cumulative Capacity|Liquids|Coal|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
625;Cumulative Capacity|Liquids|Coal|w/o CCS;GW;;;;;;;;;;;;;;;;;Cumulative installed capacity (since 2005) of coal to liquids plants without CCS. The cumulative capacity of coal to liquids plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Liquids|Coal|w/o CCS|1,...,Cumulative Capacity|Liquids|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
626;Cumulative Capacity|Liquids|Gas;GW;;;;;;;;;;;;;;;;;Cumulative installed capacity (since 2005) of gas to liquids plants.
627;Cumulative Capacity|Liquids|Gas|w/ CCS;GW;;;;;;;;;;;;;;;;;Cumulative installed capacity (since 2005) of gas to liquids plants with CCS. The cumulative capacity of CCS gas to liquids plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Liquids|Gas|w/ CCS|1,...,Cumulative Capacity|Liquids|Gas|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
628;Cumulative Capacity|Liquids|Gas|w/o CCS;GW;;;;;;;;;;;;;;;;;Cumulative installed capacity (since 2005) of gas to liquids plants without CCS. The cumulative capacity of gas to liquids plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Liquids|Gas|w/o CCS|1,...,Cumulative Capacity|Liquids|Gas|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
629;Cumulative Capacity|Liquids|Oil;GW;;;;;;;;;;;;;;;;;Cumulative installed capacity (since 2005) of oil refining plants. The cumulative capacity of oil refineries by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Liquids|Oil|1,...,Cumulative Capacity|Liquids|Oil|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
630;Energy Service|Residential and Commercial|Commercial|Education|Construction;bn m2/yr;;;;;;;;;;;;;;;;;Annual construction of commercial education buildings
631;Energy Service|Residential and Commercial|Commercial|Education|Construction cost;US$2010/m2;;;;;;;;;;;;;;;;;Construction cost of commercial education buildings including material and labour costs
632;Energy Service|Residential and Commercial|Commercial|Education|Construction rate;%/yr;;;;;;;;;;;;;;;;;Annual construction rate of commercial education buildings
633;Energy Service|Residential and Commercial|Commercial|Education|Floor space;bn m2/yr;;;;;;;;;;;;;;;;;Energy service demand for conditioned floor space in commercial education buildings
634;Energy Service|Residential and Commercial|Commercial|Education|Renovation cost;US$2010/m2;;;;;;;;;;;;;;;;;Ronstruction cost of commercial education buildings including material and labour costs
635;Energy Service|Residential and Commercial|Commercial|Education|Renovation rate;%/yr;;;;;;;;;;;;;;;;;Annual renovation rate of commercial education buildings
636;Energy Service|Residential and Commercial|Commercial|Floor Space;bn m2/yr;Energy Service|Buildings|Commercial|Floor Space;bn m2/yr;;;;;;Energy Service|Buildings|Commercial|Floor Space;bn m2/yr;;;;;;;;energy service demand for conditioned floor space in commercial buildings
637;Energy Service|Residential and Commercial|Commercial|Health|Construction;bn m2/yr;;;;;;;;;;;;;;;;;Annual construction of commercial health buildings
638;Energy Service|Residential and Commercial|Commercial|Health|Construction cost;US$2010/m2;;;;;;;;;;;;;;;;;Construction cost of commercial health buildings including material and labour costs
639;Energy Service|Residential and Commercial|Commercial|Health|Construction rate;%/yr;;;;;;;;;;;;;;;;;Annual construction rate of commercial health buildings
640;Energy Service|Residential and Commercial|Commercial|Health|Floor space;bn m2/yr;;;;;;;;;;;;;;;;;Energy service demand for conditioned floor space in commercial health buildings
641;Energy Service|Residential and Commercial|Commercial|Health|Renovation cost;US$2010/m2;;;;;;;;;;;;;;;;;Ronstruction cost of commercial health buildings including material and labour costs
642;Energy Service|Residential and Commercial|Commercial|Health|Renovation rate;%/yr;;;;;;;;;;;;;;;;;Annual renovation rate of commercial health buildings
643;Energy Service|Residential and Commercial|Commercial|Hotels|Construction;bn m2/yr;;;;;;;;;;;;;;;;;Annual construction of commercial hotels buildings
644;Energy Service|Residential and Commercial|Commercial|Hotels|Construction cost;US$2010/m2;;;;;;;;;;;;;;;;;Construction cost of commercial hotels buildings including material and labour costs
645;Energy Service|Residential and Commercial|Commercial|Hotels|Construction rate;%/yr;;;;;;;;;;;;;;;;;Annual construction rate of commercial hotels buildings
646;Energy Service|Residential and Commercial|Commercial|Hotels|Floor space;bn m2/yr;;;;;;;;;;;;;;;;;Energy service demand for conditioned floor space in commercial hotels buildings
647;Energy Service|Residential and Commercial|Commercial|Hotels|Renovation cost;US$2010/m2;;;;;;;;;;;;;;;;;Ronstruction cost of commercial hotels buildings including material and labour costs
648;Energy Service|Residential and Commercial|Commercial|Hotels|Renovation rate;%/yr;;;;;;;;;;;;;;;;;Annual renovation rate of commercial hotels buildings
649;Energy Service|Residential and Commercial|Commercial|Industrial & trade|Construction;bn m2/yr;;;;;;;;;;;;;;;;;Annual construction of commercial industrial & trade buildings
650;Energy Service|Residential and Commercial|Commercial|Industrial & trade|Construction cost;US$2010/m2;;;;;;;;;;;;;;;;;Construction cost of commercial industrial & trade buildings including material and labour costs
651;Energy Service|Residential and Commercial|Commercial|Industrial & trade|Construction rate;%/yr;;;;;;;;;;;;;;;;;Annual construction rate of commercial industrial & trade buildings
652;Energy Service|Residential and Commercial|Commercial|Industrial & trade|Floor space;bn m2/yr;;;;;;;;;;;;;;;;;Energy service demand for conditioned floor space in commercial industrial & trade buildings
653;Energy Service|Residential and Commercial|Commercial|Industrial & trade|Renovation cost;US$2010/m2;;;;;;;;;;;;;;;;;Ronstruction cost of commercial industrial & trade buildings including material and labour costs
654;Energy Service|Residential and Commercial|Commercial|Industrial & trade|Renovation rate;%/yr;;;;;;;;;;;;;;;;;Annual renovation rate of commercial industrial & trade buildings
655;Energy Service|Residential and Commercial|Commercial|Offices|Construction;bn m2/yr;;;;;;;;;;;;;;;;;Annual construction of commercial offices buildings
656;Energy Service|Residential and Commercial|Commercial|Offices|Construction cost;US$2010/m2;;;;;;;;;;;;;;;;;Construction cost of commercial offices buildings including material and labour costs
657;Energy Service|Residential and Commercial|Commercial|Offices|Construction rate;%/yr;;;;;;;;;;;;;;;;;Annual construction rate of commercial offices buildings
658;Energy Service|Residential and Commercial|Commercial|Offices|Floor space;bn m2/yr;;;;;;;;;;;;;;;;;Energy service demand for conditioned floor space in commercial offices buildings
