idx;Variable_AR6;Unit;r21m42;r21m42_unit;r21m42_factor;r21m42_spatial;m42;m42_unit;m42_factor;r30m44;r30m44_unit;r30m44_factor;r30m44_spatial;m44;m44_unit;m44_factor;internal_comment;Comment;Definition
;Fertilizer Use|Nitrogen|Biological Fixation;Tg N/yr;Resources|Nitrogen|Cropland Budget|Inputs|+|Biological Fixation Symbiotic Crops;Mt Nr/yr;;;Resources|Nitrogen|Cropland Budget|Inputs|+|Biological Fixation Symbiotic Crops;Mt Nr/yr;;Resources|Nitrogen|Cropland Budget|Inputs|+|Biological Fixation Symbiotic Crops;Mt Nr/yr;;;Resources|Nitrogen|Cropland Budget|Inputs|+|Biological Fixation Symbiotic Crops;Mt Nr/yr;;;;Nitrogen inputs on cropland from biological fixation
;Fertilizer Use|Nitrogen|Biological Fixation|Symbiotic Crops;Tg N/yr;Resources|Nitrogen|Cropland Budget|Inputs|+|Biological Fixation Symbiotic Crops;Mt Nr/yr;;;Resources|Nitrogen|Cropland Budget|Inputs|+|Biological Fixation Symbiotic Crops;Mt Nr/yr;;Resources|Nitrogen|Cropland Budget|Inputs|+|Biological Fixation Symbiotic Crops;Mt Nr/yr;;;Resources|Nitrogen|Cropland Budget|Inputs|+|Biological Fixation Symbiotic Crops;Mt Nr/yr;;;;Nitrogen inputs on cropland from symbiotic fixation in plants
;Fertilizer Use|Nitrogen|Surplus;Tg N/yr;Resources|Nitrogen|Cropland Budget|Balance|+|Nutrient Surplus;Mt Nr/yr;;;Resources|Nitrogen|Cropland Budget|Balance|+|Nutrient Surplus;Mt Nr/yr;;Resources|Nitrogen|Cropland Budget|Balance|+|Nutrient Surplus;Mt Nr/yr;;;Resources|Nitrogen|Cropland Budget|Balance|+|Nutrient Surplus;Mt Nr/yr;;;;Nitrogen surplus of soil inputs over soil withdrawals on cropland
5;Fertilizer Use|Phosphorous|Inorganic;Tg P/yr;;;;;;;;;;;;;;;;;Total phosphorous inputs in inorganic fertilizer use
6;Fertilizer Use|Phosphorous|Organic;Tg P/yr;;;;;;;;;;;;;;;;;Total phosphorous inputs in organic fertilizer use
7;Fertilizer Use|Potassium|Inorganic;Tg K2O/yr;;;;;;;;;;;;;;;;;Total potassium inputs in inorganic fertilizer use
8;Fertilizer Use|Potassium|Organic;Tg K2O/yr;;;;;;;;;;;;;;;;;Total potassium inputs in organic fertilizer use
9;Yield|Bioenergy|2nd generation;t DM/ha/yr;Productivity|Yield|+|Bioenergy crops;t DM/ha;;;Productivity|Yield|+|Bioenergy crops;t DM/ha;;Productivity|Yield|+|Bioenergy crops;t DM/ha;;;Productivity|Yield|+|Bioenergy crops;t DM/ha;;;;aggregated yield of 2nd generation energy crops (e.g.,switchgrass,miscanthus,fast-growing wood species)
10;Yield|Cereal;t DM/ha/yr;Productivity|Yield|Crops|+|Cereals;t DM/ha;;;Productivity|Yield|Crops|+|Cereals;t DM/ha;;Productivity|Yield|Crops|+|Cereals;t DM/ha;;;Productivity|Yield|Crops|+|Cereals;t DM/ha;;;;yield of cereal production per until of area (used here as repreentative crop to measure yield assumptions)
11;Yield|Oilcrops;t DM/ha/yr;;;;;;;;Productivity|Yield|Crops|+|Oil crops;t DM/ha;;;Productivity|Yield|Crops|+|Oil crops;t DM/ha;;;;aggregated yield of Oilcrops (e.g. soybean,rapeseed,groundnut,sunflower,oilpalm)
