parent;child;factor
Cumulative Capacity|Electricity|Biomass;Cumulative Capacity|Electricity|Biomass|w/ CCS;1
Cumulative Capacity|Electricity|Biomass;Cumulative Capacity|Electricity|Biomass|w/o CCS;1
Cumulative Capacity|Electricity|Coal;Cumulative Capacity|Electricity|Coal|w/ CCS;1
Cumulative Capacity|Electricity|Coal;Cumulative Capacity|Electricity|Coal|w/o CCS;1
Cumulative Capacity|Electricity|Gas;Cumulative Capacity|Electricity|Gas|w/ CCS;1
Cumulative Capacity|Electricity|Gas;Cumulative Capacity|Electricity|Gas|w/o CCS;1
Cumulative Capacity|Electricity|Oil;Cumulative Capacity|Electricity|Oil|w/ CCS;1
Cumulative Capacity|Electricity|Oil;Cumulative Capacity|Electricity|Oil|w/o CCS;1
Cumulative Capacity|Electricity|Solar;Cumulative Capacity|Electricity|Solar|CSP;1
Cumulative Capacity|Electricity|Solar;Cumulative Capacity|Electricity|Solar|PV;1
Cumulative Capacity|Electricity|Wind;Cumulative Capacity|Electricity|Wind|Offshore;1
Cumulative Capacity|Electricity|Wind;Cumulative Capacity|Electricity|Wind|Onshore;1
Cumulative Capacity|Gases|Biomass;Cumulative Capacity|Gases|Biomass|w/ CCS;1
Cumulative Capacity|Gases|Biomass;Cumulative Capacity|Gases|Biomass|w/o CCS;1
Cumulative Capacity|Gases|Coal;Cumulative Capacity|Gases|Coal|w/ CCS;1
Cumulative Capacity|Gases|Coal;Cumulative Capacity|Gases|Coal|w/o CCS;1
Cumulative Capacity|Hydrogen|Biomass;Cumulative Capacity|Hydrogen|Biomass|w/ CCS;1
Cumulative Capacity|Hydrogen|Biomass;Cumulative Capacity|Hydrogen|Biomass|w/o CCS;1
Cumulative Capacity|Hydrogen|Coal;Cumulative Capacity|Hydrogen|Coal|w/ CCS;1
Cumulative Capacity|Hydrogen|Coal;Cumulative Capacity|Hydrogen|Coal|w/o CCS;1
Cumulative Capacity|Hydrogen|Gas;Cumulative Capacity|Hydrogen|Gas|w/ CCS;1
Cumulative Capacity|Hydrogen|Gas;Cumulative Capacity|Hydrogen|Gas|w/o CCS;1
Cumulative Capacity|Liquids|Biomass;Cumulative Capacity|Liquids|Biomass|w/ CCS;1
Cumulative Capacity|Liquids|Biomass;Cumulative Capacity|Liquids|Biomass|w/o CCS;1
Cumulative Capacity|Liquids|Coal;Cumulative Capacity|Liquids|Coal|w/ CCS;1
Cumulative Capacity|Liquids|Coal;Cumulative Capacity|Liquids|Coal|w/o CCS;1
Cumulative Capacity|Liquids|Gas;Cumulative Capacity|Liquids|Gas|w/ CCS;1
Cumulative Capacity|Liquids|Gas;Cumulative Capacity|Liquids|Gas|w/o CCS;1
Emissions|CF4|AFOLU;Emissions|CF4|AFOLU|Agriculture;1
Emissions|CF4|AFOLU;Emissions|CF4|AFOLU|Land;1
Emissions|CF4;Emissions|CF4|AFOLU;1
Emissions|CF4;Emissions|CF4|Energy;1
Emissions|CF4;Emissions|CF4|Industrial Processes;1
Emissions|CF4;Emissions|CF4|Waste;1
Emissions|CFC|AFOLU;Emissions|CFC|AFOLU|Agriculture;1
Emissions|CFC|AFOLU;Emissions|CFC|AFOLU|Land;1
Emissions|CFC;Emissions|CFC|AFOLU;1
Emissions|CFC;Emissions|CFC|Energy;1
Emissions|CFC;Emissions|CFC|Industrial Processes;1
Emissions|CFC;Emissions|CFC|Waste;1
Emissions|CH4|AFOLU|Agriculture|Livestock;Emissions|CH4|AFOLU|Agriculture|Livestock|Enteric Fermentation;1
Emissions|CH4|AFOLU|Agriculture|Livestock;Emissions|CH4|AFOLU|Agriculture|Livestock|Manure Management;1
Emissions|CH4|Energy|Demand|Residential and Commercial;Emissions|CH4|Energy|Demand|Residential and Commercial|Commercial;1
Emissions|CH4|Energy|Demand|Residential and Commercial;Emissions|CH4|Energy|Demand|Residential and Commercial|Residential;1
