variable;unit;tier;description;comment;piam_variable;piam_unit;piam_factor;internal_comment;source;interpolation
Nutrients|Nitrogen|Surplus|Animal Waste Management;Tg N/yr;;;;Resources|Nitrogen|Pollution|Surplus|+|Animal Waste Management;Mt Nr/yr;;;Mx;
Nutrients|Nitrogen|Surplus|Non-Agricultural Land;Tg N/yr;;;;Resources|Nitrogen|Pollution|Surplus|+|Non-agricultural land;Mt Nr/yr;;;M;
Nutrients|Phosphorus|Cropland Budget|Inputs;Tg P/yr;;;;;;;;;
Nutrients|Phosphorus|Cropland Budget|Inputs|Fertilizer;Tg P/yr;;;;;;;;;
Nutrients|Phosphorus|Cropland Budget|Inputs|Manure;Tg P/yr;;;;;;;;;
Nutrients|Phosphorus|Cropland Budget|Inputs|Other;Tg P/yr;;;;;;;;;
Nutrients|Phosphorus|Cropland Budget|Inputs|Recycled Aboveground Crop Residues;Tg P/yr;;;;;;;;;
Nutrients|Phosphorus|Cropland Budget|Withdrawals;Tg P/yr;;;;;;;;;
Nutrients|Phosphorus|Cropland Budget|Withdrawals|Aboveground Crop Residues;Tg P/yr;;;;;;;;;
Nutrients|Phosphorus|Cropland Budget|Withdrawals|Belowground Crop Residues;Tg P/yr;;;;;;;;;
Nutrients|Phosphorus|Cropland Budget|Withdrawals|Harvested Crops;Tg P/yr;;;;;;;;;
Nutrients|Phosphorus|Pasture Budget|Inputs;Tg P/yr;;;;;;;;;
Nutrients|Phosphorus|Pasture Budget|Inputs|Fertilizer;Tg P/yr;;;;;;;;;
Nutrients|Phosphorus|Pasture Budget|Inputs|Manure;Tg P/yr;;;;;;;;;
Nutrients|Phosphorus|Pasture Budget|Inputs|Manure|Grazing;Tg P/yr;;;;;;;;;
Nutrients|Phosphorus|Pasture Budget|Inputs|Manure|Recycled from Confinements;Tg P/yr;;;;;;;;;
Nutrients|Phosphorus|Pasture Budget|Inputs|Other;Tg P/yr;;;;;;;;;
Nutrients|Phosphorus|Pasture Budget|Withdrawals;Tg P/yr;;;;;;;;;
Nutrients|Phosphorus|Surplus|Agricultural Land;Tg P/yr;;;;;;;;;
Nutrients|Phosphorus|Surplus|Agricultural Land|Cropland;Tg P/yr;;;;;;;;;
Nutrients|Phosphorus|Surplus|Agricultural Land|Pasture;Tg P/yr;;;;;;;;;
Pesticide Use;Mt/yr;;;;;;;;;
